timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1418235094400671,6,51.760637,-1.261249,69.457628,3.436562,2.240278,6.392005,5735846.391745,619997.508125,-69.457628,30U
1418235094600672,6,51.760637,-1.261249,69.459335,3.436460,2.240356,6.391964,5735846.396696,619997.504834,-69.459335,30U
1418235094800673,6,51.760637,-1.261249,69.445519,3.436366,2.240427,6.391922,5735846.395887,619997.503395,-69.445519,30U
1418235095000674,6,51.760637,-1.261249,69.438387,3.436285,2.240464,6.391834,5735846.386317,619997.511026,-69.438387,30U
1418235095200674,6,51.760637,-1.261249,69.442954,3.436203,2.240520,6.391780,5735846.375495,619997.507100,-69.442954,30U
1418235095400675,6,51.760637,-1.261249,69.434306,3.436136,2.240568,6.391748,5735846.376137,619997.502919,-69.434306,30U
1418235095600676,6,51.760637,-1.261249,69.422887,3.436043,2.240645,6.391698,5735846.372802,619997.506453,-69.422887,30U
1418235095800677,6,51.760637,-1.261249,69.415916,3.435960,2.240705,6.391628,5735846.375789,619997.501967,-69.415916,30U
1418235096000678,6,51.760637,-1.261249,69.414489,3.435843,2.240762,6.391566,5735846.377872,619997.504594,-69.414489,30U
1418235096200679,6,51.760637,-1.261249,69.407026,3.435785,2.240820,6.391521,5735846.366493,619997.495931,-69.407026,30U
1418235096400680,6,51.760637,-1.261249,69.389507,3.435619,2.240856,6.391379,5735846.370324,619997.488155,-69.389507,30U
1418235096600680,6,51.760637,-1.261249,69.394830,3.435547,2.240918,6.391348,5735846.368793,619997.486437,-69.394830,30U
1418235096800681,6,51.760637,-1.261249,69.369583,3.435430,2.241004,6.391302,5735846.368760,619997.477914,-69.369583,30U
1418235097000682,6,51.760637,-1.261249,69.378512,3.435325,2.241064,6.391234,5735846.362717,619997.480366,-69.378512,30U
1418235097200683,6,51.760637,-1.261249,69.379377,3.435226,2.241120,6.391165,5735846.359519,619997.480978,-69.379377,30U
1418235097400684,6,51.760636,-1.261249,69.372686,3.435157,2.241174,6.391107,5735846.347619,619997.479443,-69.372686,30U
1418235097600685,6,51.760636,-1.261249,69.374641,3.435064,2.241254,6.391074,5735846.338749,619997.480864,-69.374641,30U
1418235097800605,6,51.760636,-1.261249,69.374682,3.435035,2.241321,6.391062,5735846.330287,619997.479967,-69.374682,30U
1418235098000605,6,51.760636,-1.261249,69.393167,3.434909,2.241347,6.390938,5735846.330415,619997.479637,-69.393167,30U
1418235098200606,6,51.760636,-1.261249,69.373123,3.434809,2.241403,6.390875,5735846.335738,619997.475765,-69.373123,30U
1418235098400607,6,51.760636,-1.261249,69.368901,3.434670,2.241466,6.390784,5735846.333569,619997.477052,-69.368901,30U
1418235098600608,6,51.760636,-1.261249,69.368710,3.434605,2.241511,6.390725,5735846.331524,619997.474240,-69.368710,30U
1418235098800523,6,51.760636,-1.261249,69.353555,3.434538,2.241532,6.390635,5735846.327162,619997.476409,-69.353555,30U
1418235099000523,6,51.760636,-1.261249,69.360151,3.434396,2.241585,6.390526,5735846.320162,619997.484073,-69.360151,30U
1418235099200524,6,51.760636,-1.261249,69.344043,3.434297,2.241641,6.390457,5735846.320491,619997.481228,-69.344043,30U
1418235099400525,6,51.760636,-1.261249,69.341907,3.434225,2.241728,6.390444,5735846.317589,619997.484874,-69.341907,30U
1418235099600525,6,51.760636,-1.261249,69.331716,3.434126,2.241791,6.390368,5735846.326593,619997.482367,-69.331716,30U
1418235099800526,6,51.760636,-1.261249,69.324581,3.434047,2.241849,6.390326,5735846.334313,619997.488747,-69.324581,30U
1418235100000526,6,51.760636,-1.261249,69.305506,3.433975,2.241908,6.390270,5735846.329343,619997.483462,-69.305506,30U
1418235100200527,6,51.760636,-1.261249,69.309180,3.433876,2.241964,6.390201,5735846.338696,619997.480802,-69.309180,30U
1418235100400527,6,51.760636,-1.261249,69.309977,3.433733,2.242025,6.390116,5735846.333704,619997.474929,-69.309977,30U
1418235100600528,6,51.760636,-1.261250,69.323014,3.433630,2.242091,6.390046,5735846.332729,619997.471374,-69.323014,30U
1418235100800529,6,51.760636,-1.261249,69.335380,3.433553,2.242146,6.390009,5735846.333579,619997.477699,-69.335380,30U
1418235101000529,6,51.760636,-1.261249,69.315280,3.433469,2.242182,6.389925,5735846.334756,619997.475150,-69.315280,30U
1418235101200530,6,51.760636,-1.261249,69.301530,3.433370,2.242239,6.389856,5735846.326020,619997.472739,-69.301530,30U
1418235101400530,6,51.760636,-1.261250,69.305701,3.433245,2.242312,6.389793,5735846.328617,619997.461537,-69.305701,30U
1418235101600531,6,51.760636,-1.261250,69.318037,3.433195,2.242356,6.389728,5735846.324186,619997.466811,-69.318037,30U
1418235101800531,6,51.760636,-1.261250,69.307210,3.433086,2.242407,6.389652,5735846.315558,619997.465020,-69.307210,30U
1418235102000532,6,51.760636,-1.261250,69.300169,3.432893,2.242428,6.389491,5735846.317390,619997.469546,-69.300169,30U
1418235102200532,6,51.760636,-1.261249,69.314355,3.432793,2.242484,6.389421,5735846.315615,619997.473730,-69.314355,30U
1418235102400533,6,51.760636,-1.261249,69.301970,3.432745,2.242555,6.389410,5735846.314740,619997.476275,-69.301970,30U
1418235102600534,6,51.760636,-1.261249,69.292854,3.432623,2.242603,6.389309,5735846.321716,619997.477677,-69.292854,30U
1418235102800534,6,51.760636,-1.261249,69.295240,3.432525,2.242679,6.389264,5735846.318582,619997.474615,-69.295240,30U
1418235103000535,6,51.760636,-1.261249,69.288900,3.432419,2.242717,6.389165,5735846.324026,619997.474868,-69.288900,30U
1418235103200535,6,51.760636,-1.261249,69.290684,3.432303,2.242772,6.389085,5735846.328032,619997.476054,-69.290684,30U
1418235103400536,6,51.760636,-1.261249,69.276889,3.432177,2.242809,6.388978,5735846.320142,619997.474369,-69.276889,30U
1418235103600536,6,51.760636,-1.261250,69.285570,3.432090,2.242869,6.388920,5735846.322115,619997.469801,-69.285570,30U
1418235103800537,6,51.760636,-1.261249,69.278735,3.431996,2.242931,6.388860,5735846.326442,619997.474332,-69.278735,30U
1418235104000538,6,51.760636,-1.261250,69.274075,3.431917,2.242958,6.388763,5735846.320986,619997.471015,-69.274075,30U
1418235104200538,6,51.760636,-1.261249,69.268854,3.431818,2.243014,6.388694,5735846.316742,619997.475244,-69.268854,30U
1418235104400539,6,51.760636,-1.261249,69.271676,3.431735,2.243112,6.388691,5735846.313976,619997.481638,-69.271676,30U
1418235104600539,6,51.760636,-1.261249,69.264400,3.431595,2.243148,6.388568,5735846.322184,619997.478558,-69.264400,30U
1418235104800540,6,51.760636,-1.261249,69.280385,3.431524,2.243216,6.388524,5735846.317025,619997.482382,-69.280385,30U
1418235105000540,6,51.760636,-1.261249,69.267154,3.431452,2.243273,6.388453,5735846.325229,619997.475855,-69.267154,30U
1418235105200541,6,51.760636,-1.261249,69.286058,3.431353,2.243310,6.388361,5735846.328517,619997.478188,-69.286058,30U
1418235105400541,6,51.760636,-1.261249,69.288249,3.431177,2.243353,6.388248,5735846.334287,619997.479710,-69.288249,30U
1418235105600542,6,51.760636,-1.261249,69.283737,3.431165,2.243415,6.388235,5735846.336051,619997.481872,-69.283737,30U
1418235105800543,6,51.760636,-1.261249,69.273380,3.431016,2.243454,6.388105,5735846.329528,619997.479350,-69.273380,30U
1418235106000543,6,51.760636,-1.261249,69.260233,3.430946,2.243538,6.388093,5735846.331282,619997.480311,-69.260233,30U
1418235106200544,6,51.760636,-1.261249,69.249802,3.430846,2.243594,6.388024,5735846.332067,619997.475753,-69.249802,30U
1418235106400544,6,51.760636,-1.261249,69.249145,3.430677,2.243638,6.387916,5735846.322042,619997.473611,-69.249145,30U
1418235106600457,6,51.760636,-1.261250,69.234848,3.430614,2.243715,6.387887,5735846.323003,619997.470613,-69.234848,30U
1418235106800457,6,51.760636,-1.261250,69.244682,3.430613,2.243789,6.387901,5735846.317505,619997.471359,-69.244682,30U
1418235107000458,6,51.760636,-1.261249,69.237689,3.430504,2.243845,6.387815,5735846.319719,619997.474167,-69.237689,30U
1418235107200458,6,51.760636,-1.261250,69.221449,3.430413,2.243893,6.387735,5735846.318544,619997.471671,-69.221449,30U
1418235107400458,6,51.760636,-1.261250,69.202814,3.430294,2.243946,6.387653,5735846.321663,619997.468944,-69.202814,30U
1418235107600459,6,51.760636,-1.261250,69.195437,3.430212,2.243993,6.387579,5735846.326435,619997.470523,-69.195437,30U
1418235107800459,6,51.760636,-1.261250,69.175608,3.430126,2.244076,6.387555,5735846.330694,619997.471204,-69.175608,30U
1418235108000460,6,51.760636,-1.261250,69.193809,3.430015,2.244113,6.387455,5735846.328868,619997.470674,-69.193809,30U
1418235108200460,6,51.760636,-1.261249,69.180376,3.429874,2.244168,6.387374,5735846.318679,619997.476507,-69.180376,30U
1418235108400461,6,51.760636,-1.261250,69.195284,3.429778,2.244206,6.387279,5735846.326546,619997.467380,-69.195284,30U
1418235108600461,6,51.760636,-1.261250,69.209035,3.429679,2.244250,6.387179,5735846.327104,619997.468363,-69.209035,30U
