image_name,gpstimestamp,time_diff,ins_status,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1417534257594785,1417534257594149,-636,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.012531,5735838.283699,619996.830979,-111.012531,30U,0.002352,-0.007813,0.001208,0.046043,0.002834,4.923172
1417534257657276,1417534257654150,-3126,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.012442,5735838.283816,619996.830514,-111.012442,30U,0.002067,-0.007776,0.001583,0.046041,0.002840,4.923177
1417534257969723,1417534257974152,4429,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.012065,5735838.284566,619996.828138,-111.012065,30U,0.002579,-0.006666,0.001143,0.046043,0.002835,4.923174
1417534258032211,1417534258034152,1941,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.012009,5735838.284716,619996.827724,-111.012009,30U,0.002730,-0.007093,0.000620,0.046037,0.002845,4.923171
1417534258094701,1417534258094153,-548,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011981,5735838.284857,619996.827302,-111.011981,30U,0.002460,-0.007062,0.000364,0.046019,0.002854,4.923170
1417534258157190,1417534258154153,-3037,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011971,5735838.284996,619996.826874,-111.011971,30U,0.002606,-0.007117,-0.000078,0.046017,0.002853,4.923173
1417534258469638,1417534258474155,4517,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011452,5735838.284435,619996.828849,-111.011452,30U,0.002402,-0.005486,0.000346,0.045981,0.002899,4.929292
1417534258532128,1417534258534156,2028,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011431,5735838.284560,619996.828505,-111.011431,30U,0.002081,-0.005853,0.000488,0.045980,0.002897,4.929294
1417534258594617,1417534258594156,-461,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011410,5735838.284692,619996.828158,-111.011410,30U,0.002357,-0.005655,0.000501,0.045975,0.002893,4.929293
1417534258657106,1417534258654156,-2950,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011391,5735838.284821,619996.827828,-111.011391,30U,0.002376,-0.005489,0.000133,0.045965,0.002891,4.929289
1417534258969556,1417534258974159,4603,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011433,5735838.285473,619996.826060,-111.011433,30U,0.001674,-0.005176,-0.000573,0.045972,0.002891,4.929297
1417534259032044,1417534259034159,2115,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011465,5735838.285556,619996.825757,-111.011465,30U,0.001509,-0.004873,-0.000617,0.045950,0.002899,4.929286
1417534259094534,1417534259094159,-375,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011495,5735838.285646,619996.825466,-111.011495,30U,0.001768,-0.004852,-0.000084,0.045935,0.002905,4.929300
1417534259157023,1417534259154160,-2863,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011503,5735838.285773,619996.825165,-111.011503,30U,0.002852,-0.005164,-0.000258,0.045939,0.002904,4.929301
1417534259469471,1417534259474162,4691,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011042,5735838.285717,619996.826044,-111.011042,30U,0.002078,-0.005153,-0.000700,0.045975,0.002932,4.934281
1417534259531962,1417534259534162,2200,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011060,5735838.285819,619996.825732,-111.011060,30U,0.001488,-0.005014,0.000269,0.045947,0.002912,4.934271
1417534259594451,1417534259594163,-288,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011016,5735838.285886,619996.825445,-111.011016,30U,0.000974,-0.004717,0.001263,0.045936,0.002916,4.934259
1417534259656940,1417534259654163,-2777,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.010940,5735838.285956,619996.825153,-111.010940,30U,0.001756,-0.004989,0.000986,0.045946,0.002933,4.934262
1417534259969388,1417534259974165,4777,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.010856,5735838.286413,619996.823653,-111.010856,30U,-0.000347,-0.004295,-0.000520,0.046039,0.002936,4.934254
1417534260031877,1417534260034166,2289,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.010896,5735838.286381,619996.823367,-111.010896,30U,-0.000304,-0.005043,-0.000699,0.046022,0.002935,4.934254
1417534260094367,1417534260094166,-201,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.010909,5735838.286365,619996.823057,-111.010909,30U,-0.000005,-0.005244,0.000149,0.045980,0.002929,4.934253
1417534260156856,1417534260154166,-2690,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.010904,5735838.286349,619996.822761,-111.010904,30U,-0.000217,-0.004738,0.000117,0.045995,0.002923,4.934251
1417534260469304,1417534260474169,4865,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011308,5735838.286407,619996.826987,-111.011308,30U,-0.001021,-0.004937,-0.000410,0.045980,0.002932,4.933889
1417534260531794,1417534260534169,2375,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011325,5735838.286313,619996.826717,-111.011325,30U,-0.001749,-0.003976,0.000065,0.045954,0.002917,4.933885
1417534260594285,1417534260594169,-116,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011271,5735838.286203,619996.826497,-111.011271,30U,-0.001374,-0.003252,0.001347,0.045952,0.002935,4.933888
1417534260656773,1417534260654170,-2603,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.011181,5735838.286177,619996.826316,-111.011181,30U,0.000673,-0.002970,0.001695,0.045961,0.002969,4.933889
1417534260969222,1417534260974172,4950,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.010749,5735838.286080,619996.825027,-111.010749,30U,-0.001269,-0.003038,0.003695,0.045892,0.002954,4.933870
1417534261031711,1417534261034172,2461,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.010553,5735838.286025,619996.824833,-111.010553,30U,-0.000366,-0.003581,0.002614,0.045881,0.002977,4.933874
1417534261094202,1417534261094173,-29,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.010451,5735838.286031,619996.824598,-111.010451,30U,0.001004,-0.004063,0.000988,0.045948,0.002973,4.933889
1417534261156692,1417534261154173,-2519,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.010400,5735838.286116,619996.824360,-111.010400,30U,0.001671,-0.003683,0.001279,0.046013,0.002945,4.933894
1417534261531629,1417534261534176,2547,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.009861,5735838.284510,619996.826106,-111.009861,30U,-0.000869,-0.004034,0.000902,0.045932,0.002986,4.932865
1417534261594118,1417534261594176,58,INS_ALIGNMENT_COMPLETE,51.760564,-1.261262,111.009788,5735838.284460,619996.825867,-111.009788,30U,-0.000493,-0.004121,0.001455,0.045960,0.003005,4.932872
